"Name","Version","Purl","License"
"@babel/plugin-transform-modules-systemjs","7.27.1","pkg:npm/@babel/plugin-transform-modules-systemjs@7.27.1","MIT"
"@babel/plugin-transform-modules-umd","7.27.1","pkg:npm/@babel/plugin-transform-modules-umd@7.27.1","MIT"
"@babel/plugin-transform-named-capturing-groups-regex","7.27.1","pkg:npm/@babel/plugin-transform-named-capturing-groups-regex@7.27.1","MIT"
"@babel/plugin-transform-new-target","7.27.1","pkg:npm/@babel/plugin-transform-new-target@7.27.1","MIT"
"@babel/plugin-transform-nullish-coalescing-operator","7.27.1","pkg:npm/@babel/plugin-transform-nullish-coalescing-operator@7.27.1","MIT"
"@babel/plugin-transform-numeric-separator","7.27.1","pkg:npm/@babel/plugin-transform-numeric-separator@7.27.1","MIT"
"@babel/plugin-transform-object-rest-spread","7.28.0","pkg:npm/@babel/plugin-transform-object-rest-spread@7.28.0","MIT"
"@babel/plugin-transform-object-super","7.27.1","pkg:npm/@babel/plugin-transform-object-super@7.27.1","MIT"
"@babel/plugin-transform-optional-catch-binding","7.27.1","pkg:npm/@babel/plugin-transform-optional-catch-binding@7.27.1","MIT"
"@babel/plugin-transform-optional-chaining","7.27.1","pkg:npm/@babel/plugin-transform-optional-chaining@7.27.1","MIT"
"@babel/plugin-transform-parameters","7.27.7","pkg:npm/@babel/plugin-transform-parameters@7.27.7","MIT"
"@babel/plugin-transform-private-methods","7.27.1","pkg:npm/@babel/plugin-transform-private-methods@7.27.1","MIT"
"@babel/plugin-transform-private-property-in-object","7.27.1","pkg:npm/@babel/plugin-transform-private-property-in-object@7.27.1","MIT"
"@babel/plugin-transform-property-literals","7.27.1","pkg:npm/@babel/plugin-transform-property-literals@7.27.1","MIT"
"@babel/plugin-transform-react-constant-elements","7.27.1","pkg:npm/@babel/plugin-transform-react-constant-elements@7.27.1","MIT"
"@babel/plugin-transform-react-display-name","7.28.0","pkg:npm/@babel/plugin-transform-react-display-name@7.28.0","MIT"
"@babel/plugin-transform-react-jsx","7.27.1","pkg:npm/@babel/plugin-transform-react-jsx@7.27.1","MIT"
"@babel/plugin-transform-react-jsx-development","7.27.1","pkg:npm/@babel/plugin-transform-react-jsx-development@7.27.1","MIT"
"@babel/plugin-transform-react-pure-annotations","7.27.1","pkg:npm/@babel/plugin-transform-react-pure-annotations@7.27.1","MIT"
"@babel/plugin-transform-regenerator","7.28.3","pkg:npm/@babel/plugin-transform-regenerator@7.28.3","MIT"
"@babel/plugin-transform-regexp-modifiers","7.27.1","pkg:npm/@babel/plugin-transform-regexp-modifiers@7.27.1","MIT"
"@babel/plugin-transform-reserved-words","7.27.1","pkg:npm/@babel/plugin-transform-reserved-words@7.27.1","MIT"
"@babel/plugin-transform-runtime","7.28.3","pkg:npm/@babel/plugin-transform-runtime@7.28.3","MIT"
"@babel/plugin-transform-shorthand-properties","7.27.1","pkg:npm/@babel/plugin-transform-shorthand-properties@7.27.1","MIT"
"@babel/plugin-transform-spread","7.27.1","pkg:npm/@babel/plugin-transform-spread@7.27.1","MIT"
"@babel/plugin-transform-sticky-regex","7.27.1","pkg:npm/@babel/plugin-transform-sticky-regex@7.27.1","MIT"
"@babel/plugin-transform-template-literals","7.27.1","pkg:npm/@babel/plugin-transform-template-literals@7.27.1","MIT"
